origin,orig_region,destination,dest_region,"1990","1995","2000","2005","2010","2015","2020",1990.1,1995.1,2000.1,2005.1,2010.1,2015.1,2020.1,1990.2,1995.2,2000.2,2005.2,2010.2,2015.2,2020.2,dest_subregion,orig_subregion
Venezuela,Latin America and the Caribbean,Saint Lucia,Latin America and the Caribbean,27,35,49,41,31,29,27,12,16,22,19,14,14,14,15,19,27,22,17,15,13,Caribbean,South America
Venezuela,Latin America and the Caribbean,Cuba,Latin America and the Caribbean,431,327,176,206,228,241,245,222,162,81,91,94,95,94,209,165,95,115,134,146,151,Caribbean,South America
Venezuela,Latin America and the Caribbean,"Bonaire, Sint Eustatius and Saba",Latin America and the Caribbean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Caribbean,South America
Ecuador,Latin America and the Caribbean,Colombia,Latin America and the Caribbean,11870,11917,11964,11337,13707,16397,19180,6223,6216,6209,5861,7057,8399,9792,5647,5701,5755,5476,6650,7998,9388,South America,South America
Ecuador,Latin America and the Caribbean,Peru,Latin America and the Caribbean,2488,2491,2911,3419,5312,6855,12795,1066,1050,1235,1462,2578,3683,6902,1422,1441,1676,1957,2734,3172,5893,South America,South America
Ecuador,Latin America and the Caribbean,Venezuela,Latin America and the Caribbean,24600,26835,28999,31597,34782,36973,34858,12181,13121,13977,15452,17270,18095,16779,12419,13714,15022,16145,17512,18878,18079,South America,South America
Ecuador,Latin America and the Caribbean,Argentina,Latin America and the Caribbean,999,1501,2004,1479,952,955,963,509,731,954,716,478,479,486,490,770,1050,763,474,476,477,South America,South America
Ecuador,Latin America and the Caribbean,Chile,Latin America and the Caribbean,2163,5512,8857,13414,17966,22146,42266,1012,2467,3937,6082,8227,10518,20309,1151,3045,4920,7332,9739,11628,21957,South America,South America
Ecuador,Latin America and the Caribbean,Dominican Republic,Latin America and the Caribbean,950,1055,1160,858,554,581,605,439,473,507,396,284,298,310,511,582,653,462,270,283,295,Caribbean,South America
Ecuador,Latin America and the Caribbean,Costa Rica,Latin America and the Caribbean,736,683,971,637,1255,1272,1526,406,382,535,347,685,691,864,330,301,436,290,570,581,662,Central America,South America
Ecuador,Latin America and the Caribbean,Brazil,Latin America and the Caribbean,614,903,1191,1463,1716,2022,2195,402,545,688,784,868,1016,1131,212,358,503,679,848,1006,1064,South America,South America
Ecuador,Latin America and the Caribbean,Panama,Latin America and the Caribbean,1414,1604,1896,1897,2282,2672,3201,883,958,1089,1046,1229,1435,1773,531,646,807,851,1053,1237,1428,Central America,South America
Ecuador,Latin America and the Caribbean,Mexico,Latin America and the Caribbean,719,1222,1778,1881,2202,3189,3497,338,580,850,913,1084,1355,1511,381,642,928,968,1118,1834,1986,Central America,South America
